"name","mz","rt","polarity"
"M71T824_POS",70.9803366620476,823.564788818359,"positive"
"M72T823_POS",71.9874113556294,823.258514404297,"positive"
"M72T34_POS",72.0808152902304,33.8506488800049,"positive"
"M73T36_POS",73.0284200495763,35.7731552124023,"positive"
"M73T815_POS",73.064750047864,815.298553466797,"positive"
"M73T749_POS",73.3084581749615,748.723937988281,"positive"
"M74T765_POS",74.2208546082803,765.258392333984,"positive"
"M74T815_POS",74.2901324939562,815.197448730469,"positive"
"M75T749_POS",75.0228761295128,748.648590087891,"positive"
"M76T807_POS",76.1057949032977,806.952209472656,"positive"
"M77T786_POS",76.856354972429,785.577087402344,"positive"
"M77T33_POS",77.038245375723,32.846565246582,"positive"
"M78T47_POS",77.968296561652,47.0595684051514,"positive"
"M79T33_POS",79.0540724055276,33.266881942749,"positive"
"M79T817_POS",79.075271195402,817.383056640625,"positive"
"M79T556_POS",79.0752491580802,556.239013671875,"positive"
"M79T581_POS",79.0752556370418,581.452392578125,"positive"
"M79T626_POS",79.0752537291768,626.115844726562,"positive"
"M79T655_POS",79.0752316164338,655.234008789062,"positive"
"M80T814_POS",80.0494476933889,814.209167480469,"positive"
"M80T661_POS",80.0494720558568,660.564270019531,"positive"
"M81T36_POS",81.0698845907754,36.0825119018555,"positive"
"M82T33_POS",81.9866224418035,32.7484874725342,"positive"
"M82T47_POS",82.4071653059152,47.0622215270996,"positive"
"M83T832_POS",83.0214874289323,831.551055908203,"positive"
"M83T37_POS",83.0491234088796,36.7653274536133,"positive"
"M84T34_1_POS",84.0444121119072,33.9988822937012,"positive"
"M85T267_POS",84.6145752362936,267.171569824219,"positive"
"M85T704_POS",84.709587867141,703.771423339844,"positive"
"M85T35_POS",85.0284004072662,35.1289367675781,"positive"
"M85T36_POS",85.0647935663746,36.1594390869141,"positive"
"M86T182_POS",86.0032312929376,182.09846496582,"positive"
"M86T36_POS",86.0598957533986,35.5103931427002,"positive"
"M86T34_POS",86.0964053798487,33.8240985870361,"positive"
"M86T819_POS",86.0963197289242,819.463348388672,"positive"
"M86T594_POS",86.0960772658544,594.410705566406,"positive"
"M87T36_1_POS",87.0440617619189,35.9704895019531,"positive"
"M87T814_POS",87.080396307691,814.030456542969,"positive"
"M87T704_POS",87.2672076974444,703.602783203125,"positive"
"M88T894_POS",87.960576941336,894.137084960938,"positive"
"M88T939_POS",87.9605945778734,938.940734863281,"positive"
"M88T856_POS",87.9605616305173,856.135162353516,"positive"
"M88T36_POS",88.0389242234034,35.873706817627,"positive"
"M88T38_POS",88.0756977808162,38.477840423584,"positive"
"M88T625_1_POS",88.1900575023209,625.153778076172,"positive"
"M88T625_2_POS",88.4405589517337,625.182556152344,"positive"
"M89T266_POS",88.873242227886,266.291473388672,"positive"
"M89T589_POS",88.9908963962091,588.898620605469,"positive"
"M89T569_POS",88.9909632737561,569.2998046875,"positive"
"M89T615_POS",88.9908942546833,614.851257324219,"positive"
"M89T645_POS",88.9908765805199,644.580169677734,"positive"
"M89T438_POS",88.9910073579542,437.717498779297,"positive"
"M89T406_POS",88.9910099414273,406.4990234375,"positive"
"M89T213_POS",88.9910029767709,213.112411499023,"positive"
"M89T824_POS",88.9909356114891,823.828979492188,"positive"
"M89T46_POS",89.0384414140668,45.7213401794434,"positive"
"M90T50_POS",89.7570832058628,50.2359161376953,"positive"
"M91T895_POS",90.9476967575586,894.769470214844,"positive"
"M91T1005_POS",90.9477119098073,1005.24841308594,"positive"
"M91T865_POS",90.947682602505,865.038940429688,"positive"
"M91T964_POS",90.9477117927159,964.452941894531,"positive"
"M91T984_POS",90.9477125569722,983.622375488281,"positive"
"M91T942_POS",90.9477071205047,942.450256347656,"positive"
"M91T920_POS",90.9477040141139,920.131652832031,"positive"
"M91T46_POS",91.0540472697086,46.3904876708984,"positive"
"M91T33_2_POS",91.0542103171327,33.2091217041016,"positive"
"M92T33_POS",92.0575498164109,33.1413536071777,"positive"
"M93T979_POS",92.9481213604023,979.022216796875,"positive"
"M93T847_POS",92.9858818467814,847.119079589844,"positive"
"M93T971_POS",92.9859727098665,970.652465820312,"positive"
"M93T1012_POS",92.9859722705396,1012.18518066406,"positive"
"M93T945_POS",92.9859654398242,944.663635253906,"positive"
"M93T916_POS",92.9859611412286,915.818542480469,"positive"
"M93T883_POS",92.9859487941127,882.98828125,"positive"
"M93T34_POS",93.0698939011008,33.5379657745361,"positive"
"M93T581_POS",93.1020889721023,581.412536621094,"positive"
"M94T33_POS",94.041238278912,33.4863395690918,"positive"
"M94T35_POS",94.0651249688568,34.914888381958,"positive"
"M95T34_POS",95.0491322069355,33.5855140686035,"positive"
"M95T126_POS",95.0491699368753,125.675903320312,"positive"
"M95T35_2_POS",95.0854496213222,35.3009757995605,"positive"
"M95T625_POS",95.085466221594,624.967895507812,"positive"
"M95T655_1_POS",95.1978072058936,655.306945800781,"positive"
"M95T655_2_POS",95.4484238444166,655.492126464844,"positive"
"M96T34_POS",96.052247289702,34.2426872253418,"positive"
"M96T127_POS",96.0525255657069,126.849166870117,"positive"
"M97T863_POS",97.0075921119097,863.24853515625,"positive"
"M97T895_POS",97.0076181870486,895.0703125,"positive"
"M97T920_POS",97.0076224101539,920.145172119141,"positive"
"M97T956_POS",97.0076250326539,956.022583007812,"positive"
"M97T995_POS",97.0076244260349,994.951904296875,"positive"
"M97T33_2_POS",97.0284504193391,33.4873085021973,"positive"
"M97T36_POS",97.0648087283562,36.1760768890381,"positive"
"M99T818_POS",98.9840350049019,818.320739746094,"positive"
