"name","mz","rt","polarity","p_value","fc"
"M71T824_POS",70.9803366620476,823.564788818359,"positive",0.924572085684917,1.00668206223272
"M72T823_POS",71.9874113556294,823.258514404297,"positive",0.885022311218585,1.01550044586896
"M72T34_POS",72.0808152902304,33.8506488800049,"positive",0.548565969747222,1.12813262496088
"M73T36_POS",73.0284200495763,35.7731552124023,"positive",0.963319121294069,1.00948790193899
"M73T815_POS",73.064750047864,815.298553466797,"positive",0.79893498474186,0.973019846922448
"M73T749_POS",73.3084581749615,748.723937988281,"positive",0.655294163770881,0.884248817318291
"M74T765_POS",74.2208546082803,765.258392333984,"positive",0.839977272366569,1.06990963048316
"M74T815_POS",74.2901324939562,815.197448730469,"positive",0.618778627597214,0.896068575182292
"M75T749_POS",75.0228761295128,748.648590087891,"positive",0.252031581753282,0.857506498577473
"M76T807_POS",76.1057949032977,806.952209472656,"positive",0.985231010862735,1.00956799616916
"M77T786_POS",76.856354972429,785.577087402344,"positive",0.231321384550488,0.855673928010849
"M77T33_POS",77.038245375723,32.846565246582,"positive",0.556502408724493,1.09240261390573
"M78T47_POS",77.968296561652,47.0595684051514,"positive",0.0352029371022427,0.856144378412119
"M79T33_POS",79.0540724055276,33.266881942749,"positive",0.532312965071963,1.06744195487447
"M79T817_POS",79.075271195402,817.383056640625,"positive",0.929012981769161,1.00920031546275
"M79T556_POS",79.0752491580802,556.239013671875,"positive",0.387660133495805,0.931294344137996
"M79T581_POS",79.0752556370418,581.452392578125,"positive",0.729201106647876,0.959729440794034
"M79T626_POS",79.0752537291768,626.115844726562,"positive",0.975319480682295,1.0072966375931
"M79T655_POS",79.0752316164338,655.234008789062,"positive",0.862399835171112,0.97370136082379
"M80T814_POS",80.0494476933889,814.209167480469,"positive",0.963091609640839,1.00883927878992
"M80T661_POS",80.0494720558568,660.564270019531,"positive",0.558232422286726,0.8932263007789
"M81T36_POS",81.0698845907754,36.0825119018555,"positive",0.773446563950158,1.03446909652874
"M82T33_POS",81.9866224418035,32.7484874725342,"positive",0.354475494598224,0.896723330777417
"M82T47_POS",82.4071653059152,47.0622215270996,"positive",0.0290634525940526,0.853831164959169
"M83T832_POS",83.0214874289323,831.551055908203,"positive",0.925909699661156,1.02632930182708
"M83T37_POS",83.0491234088796,36.7653274536133,"positive",0.71474430568228,1.043307220233
"M84T34_1_POS",84.0444121119072,33.9988822937012,"positive",0.347108477021488,1.14461420527687
"M85T267_POS",84.6145752362936,267.171569824219,"positive",0.951771677081671,1.01389211869929
"M85T704_POS",84.709587867141,703.771423339844,"positive",0.858087880634025,0.958968776946719
"M85T35_POS",85.0284004072662,35.1289367675781,"positive",0.155609919765354,1.13063513701624
"M85T36_POS",85.0647935663746,36.1594390869141,"positive",0.701095725616844,1.05543159245107
"M86T182_POS",86.0032312929376,182.09846496582,"positive",0.996984099298338,0.99894715951114
"M86T36_POS",86.0598957533986,35.5103931427002,"positive",0.135834245740555,1.17226899502427
"M86T34_POS",86.0964053798487,33.8240985870361,"positive",0.985211460009248,0.987352728158939
"M86T819_POS",86.0963197289242,819.463348388672,"positive",0.80760874714742,1.04440744105884
"M86T594_POS",86.0960772658544,594.410705566406,"positive",0.389781892576163,0.889078009455858
"M87T36_1_POS",87.0440617619189,35.9704895019531,"positive",0.423808975142081,1.08351182435046
"M87T814_POS",87.080396307691,814.030456542969,"positive",0.94575320298659,0.989906015341982
"M87T704_POS",87.2672076974444,703.602783203125,"positive",0.627851949061052,0.87164823031556
"M88T894_POS",87.960576941336,894.137084960938,"positive",0.952112095405965,1.01682794310277
"M88T939_POS",87.9605945778734,938.940734863281,"positive",0.970950724767745,1.01105811834226
"M88T856_POS",87.9605616305173,856.135162353516,"positive",0.985231010862735,1.00630545424572
"M88T36_POS",88.0389242234034,35.873706817627,"positive",0.0963009468890312,1.23942302847224
"M88T38_POS",88.0756977808162,38.477840423584,"positive",0.435749999534674,1.0711832119925
"M88T625_1_POS",88.1900575023209,625.153778076172,"positive",0.728741249837288,1.07130512462388
"M88T625_2_POS",88.4405589517337,625.182556152344,"positive",0.506711407697345,1.12361598678854
"M89T266_POS",88.873242227886,266.291473388672,"positive",0.529997972566939,1.0580701974358
"M89T589_POS",88.9908963962091,588.898620605469,"positive",0.556423623068842,1.06880983599955
"M89T569_POS",88.9909632737561,569.2998046875,"positive",0.68907316769835,1.07048641974623
"M89T615_POS",88.9908942546833,614.851257324219,"positive",0.77516806166413,0.953015830263153
"M89T645_POS",88.9908765805199,644.580169677734,"positive",0.513754927861671,1.1152633610624
"M89T438_POS",88.9910073579542,437.717498779297,"positive",0.631192281159533,0.948164736556009
"M89T406_POS",88.9910099414273,406.4990234375,"positive",0.834010816573372,0.968911254300878
"M89T213_POS",88.9910029767709,213.112411499023,"positive",0.949632843688484,1.01542749701807
"M89T824_POS",88.9909356114891,823.828979492188,"positive",0.848475419287982,1.00735231983016
"M89T46_POS",89.0384414140668,45.7213401794434,"positive",0.997300177215864,0.998530503654526
"M90T50_POS",89.7570832058628,50.2359161376953,"positive",0.943878792349541,0.974807183834489
"M91T895_POS",90.9476967575586,894.769470214844,"positive",0.960169849109195,1.00743201601098
"M91T1005_POS",90.9477119098073,1005.24841308594,"positive",0.36260530211727,1.08628135684952
"M91T865_POS",90.947682602505,865.038940429688,"positive",0.750846156565571,1.02917026687066
"M91T964_POS",90.9477117927159,964.452941894531,"positive",0.877994271798601,0.974657961940004
"M91T984_POS",90.9477125569722,983.622375488281,"positive",0.54918207937645,1.06029106874695
"M91T942_POS",90.9477071205047,942.450256347656,"positive",0.79683509388983,1.0356055074243
"M91T920_POS",90.9477040141139,920.131652832031,"positive",0.966175028215727,0.991823096880479
"M91T46_POS",91.0540472697086,46.3904876708984,"positive",0.815116347962604,1.02869987600591
"M91T33_2_POS",91.0542103171327,33.2091217041016,"positive",0.734444560963132,1.0352935462535
"M92T33_POS",92.0575498164109,33.1413536071777,"positive",0.99658855959893,0.998754806556346
"M93T979_POS",92.9481213604023,979.022216796875,"positive",0.720708189501455,1.05753923862823
"M93T847_POS",92.9858818467814,847.119079589844,"positive",0.629657659882587,1.07768938699338
"M93T971_POS",92.9859727098665,970.652465820312,"positive",0.524093839066493,1.14133904201081
"M93T1012_POS",92.9859722705396,1012.18518066406,"positive",0.993561318333199,1.00306833234102
"M93T945_POS",92.9859654398242,944.663635253906,"positive",0.91859375669039,1.0351257488335
"M93T916_POS",92.9859611412286,915.818542480469,"positive",0.883344431598507,1.04662962720323
"M93T883_POS",92.9859487941127,882.98828125,"positive",0.991119802500184,0.995718024970393
